,Predicted_benign,Predicted_defacement,Predicted_malware,Predicted_phishing
Actual_benign,60106,504,47,3554
Actual_defacement,95,14056,10,135
Actual_malware,45,49,3276,177
Actual_phishing,1188,463,60,12402
