,precision,recall,f1-score,support
benign,0.9783833056613601,0.9360701437448412,0.9567591229257034,64211.0
defacement,0.9325902335456475,0.983212087297146,0.9572323617542904,14296.0
malware,0.9655172413793104,0.9235974062588103,0.9440922190201729,3547.0
phishing,0.7623555446274896,0.8787642599022178,0.8164313222079589,14113.0
accuracy,0.9342082003181965,0.9342082003181965,0.9342082003181965,0.9342082003181965
macro avg,0.909711581303452,0.9304109743007538,0.9186287564770315,96167.0
weighted avg,0.9393980666454225,0.9342082003181965,0.9357684469413329,96167.0
