,precision,recall,f1-score,support
benign,0.8664502470007057,0.9560355702294,0.9090410999474312,64211.0
defacement,0.9164072921298355,0.8649972020145495,0.8899604174163368,14296.0
malware,0.9937225360954175,0.8925852833380321,0.9404425961681271,3547.0
phishing,0.7440083362278569,0.4553248777722667,0.564923076923077,14113.0
accuracy,0.8666798381981345,0.8666798381981345,0.8666798381981345,0.8666798381981345
macro avg,0.880147102863454,0.7922357333385621,0.826091797613743,96167.0
weighted avg,0.860602066646195,0.8666798381981345,0.85686172459713,96167.0
