model,accuracy,threat_precision,threat_recall,threat_f1,macro_f1,weighted_f1,roc_auc,false_alarm_rate,true_negative,false_positive,false_negative,true_positive,training_time_seconds
Linear SVM,0.9919400797850688,0.9928001252152137,0.9917135709818636,0.9922565506452874,0.9919265946503748,0.9919402678247956,0.9995559480493212,0.007813827076609478,5841,46,53,6343,0.8075845241546631
Logistic Regression,0.9881136530163641,0.9878239150796129,0.9893683552220137,0.9885955319481331,0.9880923936517272,0.9881132433946949,0.998951644336059,0.013249532869033463,5809,78,68,6328,3.599181890487671
Multinomial Naive Bayes,0.9749246926646584,0.9947984395318595,0.9568480300187617,0.9754542556582723,0.9749130156640504,0.9749354443180486,0.9982861108517267,0.005435705792423985,5855,32,276,6120,0.07785797119140625
