model,training_time_seconds,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_macro
Random Forest,46.6,0.9347801220792995,0.9115361836773532,0.930571074473891,0.9197225352554941,0.9396564320441201,0.9347801220792995,0.9362712544530549,0.9898998658689109
Hist Gradient Boosting,41.93,0.9267524202689073,0.8984269611808411,0.9281847455629725,0.9111609641718681,0.9347900281959267,0.9267524202689073,0.9291290159551853,0.9887707986736616
Decision Tree,6.43,0.9070367173770628,0.8509161632495483,0.9112986711653074,0.8780264681265195,0.9172310167727563,0.9070367173770628,0.9100370749405923,0.9638587310398053
Logistic Regression,24.67,0.7576403547994635,0.7108744574490463,0.8079882031930667,0.741319283744543,0.8305866858147993,0.7576403547994635,0.7765705386729008,0.9320451605653929
