model,training_time_seconds,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,false_alarm_rate,threats_detected,threats_missed,benign_sanity_safe,suspicious_sanity_flagged
Random Forest Standard,54.005303382873535,0.8725030415839113,0.8648708733187594,0.7304418575541369,0.7919925354143693,0.7538772583697751,0.941954921162009,0.9069701051212302,0.056797121988444346,23342,8614,6,2
Random Forest Balanced,58.31436347961426,0.8654736032110807,0.780045351473923,0.8288897233696333,0.8037261238298969,0.8186375408731557,0.9422150990698441,0.9066090695241216,0.11631963370762019,26488,5468,6,2
Hist Gradient Boosting Standard,14.501409769058228,0.8471201139684091,0.8366240049945373,0.6709538114907998,0.7446860238955265,0.6986223705132549,0.9150774712657916,0.8687662534994793,0.06520689601470153,21441,10515,6,1
Hist Gradient Boosting Balanced,13.625264883041382,0.8314806534466085,0.7227218734091295,0.7996620352985355,0.7592477047865228,0.7829907710409236,0.91467847797153,0.8663950059079105,0.15268411954338043,25554,6402,6,2
Logistic Regression Standard,3.9243481159210205,0.7774600434660538,0.7609652376007516,0.48156840655901867,0.5898541558864677,0.5197335981141125,0.8046935987649569,0.7166221108835612,0.07528305119060597,15389,16567,6,1
