threshold,precision,recall,f1,f2,false_alarm_rate,threats_detected,threats_missed,benign_false_alarms
0.1,0.5312093298402772,0.9835085742896482,0.6898300062554186,0.8403970287022231,0.43195091183753564,31429,527,27736
0.11,0.5412522447851913,0.9808799599449243,0.6975786709396004,0.8438051858551923,0.41374530843624924,31345,611,26567
0.12,0.5515080919856692,0.9778758292652397,0.7052597131475902,0.8469252242729761,0.39575773621342136,31249,707,25412
0.13,0.5613070670295406,0.9745587683064213,0.7123366003728313,0.8494765611787874,0.37906277740574046,31143,813,24340
0.14,0.5704204645692443,0.9713355864313431,0.7187514472282684,0.8516242317822651,0.36404977340331096,31040,916,23376
0.15,0.5803690424793048,0.9675178370259107,0.7255276959720283,0.853630927072232,0.3481490710314432,30918,1038,22355
0.16,0.5894436573879083,0.9634810364250845,0.7314170329017698,0.8549745082140199,0.33397704443163945,30789,1167,21445
0.17,0.598265726617581,0.9585993240705971,0.7367332459505285,0.8555413429259274,0.32035009577798196,30633,1323,20570
0.18,0.607030534655042,0.9543121792464639,0.7420492980022872,0.8563309409082229,0.30745510893772093,30496,1460,19742
0.19,0.6155359896129189,0.9494617599198899,0.7468737692004727,0.8565290544050227,0.2951363473548146,30341,1615,18951
0.2,0.6249948177936238,0.9435160846163475,0.7519140128182747,0.8562414094714482,0.2817430035352198,30151,1805,18091
0.21,0.6338501893258308,0.9376642883965453,0.7563897057895468,0.8556400166764707,0.26956440485275107,29964,1992,17309
0.22,0.6439361149584487,0.9311240455626486,0.7613479351107927,0.8548715178817688,0.25623335565557304,29755,2201,16453
0.23,0.6548741266496617,0.923926649142571,0.7664749938344518,0.8537727937817002,0.24232608120104032,29525,2431,15560
0.24,0.6639489061013725,0.9173864063086744,0.7703586913677571,0.8523183197850888,0.23108190185482239,29316,2640,14838
0.25,0.6760183311233628,0.9093753911628489,0.7755227306085959,0.8506477920040278,0.21689430159941442,29060,2896,13927
0.26,0.6855348903581792,0.901990236575291,0.7790059728115456,0.848413492670866,0.20591487439846756,28824,3132,13222
0.27,0.6954564259813585,0.8942608586806859,0.7824277519952907,0.8458988248527366,0.19488872623070813,28577,3379,12514
0.28,0.7053931577112693,0.8865314807860809,0.7856568401785962,0.8432250306573167,0.1842674931086574,28330,3626,11832
0.29,0.7165051020408163,0.8789272750031293,0.789448535611895,0.840807309129227,0.173070034729252,28087,3869,11113
0.3,0.7287579985314172,0.8696019526849418,0.7929745462846707,0.8372399913230013,0.16107831991403343,27789,4167,10343
0.31,0.7375270570000801,0.8636562773813994,0.795623909941335,0.8350933462434567,0.15296444534425566,27599,4357,9822
0.32,0.7461454644511032,0.8571473275754162,0.7978038621734191,0.8323811491849709,0.14513089657535314,27391,4565,9319
0.33,0.7538696255201109,0.8504506196019527,0.7992530070876099,0.8292041446477172,0.13818504617588886,27177,4779,8873
0.34,0.7611258390208133,0.8445362373263237,0.8006645503901266,0.8264229982484291,0.13190886296740434,26988,4968,8470
0.35,0.7693899844765135,0.8375265990737264,0.8020137244913248,0.8229506180431708,0.12493186525673171,26764,5192,8022
0.36,0.7769777855825797,0.8307360120165227,0.802958123497119,0.8193973739281812,0.11867125570385137,26547,5409,7620
0.37,0.7838891037272808,0.8246338715734134,0.8037454440089671,0.8161495530875057,0.11314260796436748,26352,5604,7265
0.38,0.7902416918429003,0.8185317311303042,0.8041379734382685,0.812712833387189,0.10812789085982152,26157,5799,6943
0.39,0.7969700694487124,0.8115846789335336,0.8042109832863035,0.8086190339598169,0.10289514257681706,25935,6021,6607
0.4,0.8032689543096444,0.8043246964576293,0.8037964787190793,0.8041133260752588,0.0980361620283129,25703,6253,6295
0.41,0.8097113277652513,0.7978783327074728,0.803751280636772,0.8002171825274773,0.09331734438024637,25497,6459,5992
0.42,0.8163568773234201,0.7902741269245213,0.8031037827352085,0.7953564837269068,0.0884739374873464,25254,6702,5681
0.43,0.8221506295407476,0.7826073350857429,0.8018917835671343,0.7902087296120524,0.08425347681861363,25009,6947,5410
0.44,0.829228352772115,0.7764739016147202,0.8019845181725626,0.7864808839470798,0.07958138013735964,24813,7143,5110
0.45,0.8346975512006249,0.769057453999249,0.8005342106548966,0.7813463727291803,0.07579698182554391,24576,7380,4867
0.46,0.8410911602209945,0.7622355739141319,0.7997242103880754,0.7768012042045107,0.07166996309043622,24358,7598,4602
0.47,0.847017150071897,0.7557579171360621,0.7987894623691478,0.772401926607265,0.06793228574543303,24151,7805,4362
0.48,0.8527743086529884,0.74787207410189,0.7968856804654807,0.7667357506304179,0.06425690302284655,23899,8057,4126
0.49,0.8578216241703239,0.7401114031793716,0.7946310077779831,0.7609961710479746,0.06104872996838548,23651,8305,3920
0.5,0.8642540620384047,0.7323820252847666,0.7928721458093366,0.7554356246449414,0.057248758000965565,23404,8552,3676
0.51,0.8699602072227645,0.7251846288646889,0.791002491722702,0.7501521409796584,0.053947143012879416,23174,8782,3464
0.52,0.8768971976908667,0.7177681812492177,0.7893930790012562,0.7447996830777823,0.0501471710454595,22937,9019,3220
0.53,0.8817337942284538,0.7104143196895731,0.7868568358664194,0.7391369464286877,0.047421781314728004,22702,9254,3045
0.54,0.8869397248393582,0.7040618350231569,0.7849903180224342,0.7343447069344805,0.04466524427278815,22499,9457,2868
0.55,0.8916009763514865,0.6972712479659532,0.782552197657471,0.7290514674606551,0.042189033031723534,22282,9674,2709
0.56,0.8960484592243272,0.6897296282388284,0.7794674116773349,0.7230255474931441,0.03982183737988818,22041,9915,2557
0.57,0.9011683111092763,0.6830955063211916,0.7771231242991153,0.7178372476931475,0.037283331516406844,21829,10127,2394
0.58,0.9060140915953699,0.6760232820127675,0.7743010752688172,0.7121805522588812,0.03490056220896731,21603,10353,2241
0.59,0.9106312150569758,0.6676993365878082,0.7704696047809053,0.7053320551386731,0.03261123483515285,21337,10619,2094
0.6,0.9144280762564991,0.6604393541119039,0.7669525401555346,0.699285638551662,0.03075796981825544,21105,10851,1975
0.61,0.9188060488834183,0.6540555764175742,0.7641488739397485,0.6940533432510693,0.028764541900920402,20901,11055,1847
0.62,0.9234034946596952,0.6466078357741896,0.7606058932876889,0.6878449544277335,0.02669324570556447,20663,11293,1714
0.63,0.9273732886027745,0.6401301789961197,0.7574332580442108,0.6824034907460536,0.02494899627789631,20456,11500,1602
0.64,0.9315156818495832,0.632932782576042,0.7537312042333563,0.6762874740030895,0.023158025883415614,20226,11730,1487
0.65,0.9359238773788319,0.6248278883464764,0.7493713642334396,0.6693238042880704,0.021289187210914017,19967,11989,1367
0.66,0.9387046114310189,0.6172549755914383,0.7447752458985444,0.6626376505841961,0.0200588684181838,19725,12231,1288
0.67,0.9428225611232147,0.6094004255851796,0.7403014578700272,0.6557829726762707,0.018392487268536543,19474,12482,1181
0.68,0.9466903598400711,0.6001689823507322,0.7346164895145073,0.647576021555479,0.016819548052514368,19179,12777,1080
0.69,0.9495916219872726,0.5930341719864815,0.7301061391173694,0.6411852673889066,0.01566709753780505,18951,13005,1006
0.7,0.9537254102537968,0.5856177243710101,0.7256582263755865,0.6346052113994276,0.014140879288595412,18714,13242,908
0.71,0.9564000207372078,0.5772937789460508,0.7199921943604254,0.6270010128268746,0.013097444363115354,18448,13508,841
0.72,0.9593675889328063,0.5696582801351859,0.714849502267774,0.62003147160403,0.012007288470822755,18204,13752,771
0.73,0.9624056123815135,0.5623670046313681,0.7099093404965534,0.6133572701147464,0.010932706234134339,17971,13985,702
