model,training_time_seconds,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_macro,benign_recall,benign_false_positive_rate,phishing_precision,phishing_recall,phishing_f1,malware_f1,benign_sanity_safe,suspicious_sanity_flagged
Random Forest Standard,56.13071393966675,0.866170307901879,0.8785138697331576,0.7926998297371347,0.8260627979083488,0.8566321625686177,0.9606734930385317,0.9542913208017317,0.045708679198268265,0.7380545102064089,0.45858428399348117,0.5656848177606852,0.9398127507802051,6,1
Random Forest Balanced,48.16470146179199,0.8076991067621949,0.7972403859775058,0.858436872925074,0.8140088522410959,0.820799248007846,0.9594484039764042,0.7742754356730155,0.2257245643269845,0.4718181062432455,0.8042939134131651,0.5947447014749417,0.933124197918152,1,2
Hist Gradient Boosting Standard,33.11875677108765,0.8530161073965081,0.8577638673550998,0.7781677019806176,0.8074386874390505,0.8418355563419567,0.9520258311093777,0.9466758032112877,0.05332419678871225,0.7155566241885069,0.42173882236236093,0.5306941286612278,0.9324542124542124,6,2
Hist Gradient Boosting Balanced,45.70559787750244,0.77338380109601,0.7705767577480346,0.8469773332021141,0.7883405020055716,0.7894564841937478,0.952433940481336,0.7204684555605737,0.2795315444394263,0.4317753486618922,0.8116630057393892,0.5636887040818838,0.9245175936435869,1,2
Decision Tree Balanced,7.5756518840789795,0.7717720215874468,0.7316213633339188,0.8325563106053848,0.7649625343777888,0.7865157447158964,0.9203009114482317,0.7343601563595022,0.26563984364049775,0.4332672947074758,0.7592999362290087,0.5517170365031149,0.8476597951510437,1,2
Logistic Regression Balanced,13.688736915588379,0.6157413665810517,0.6424306446191257,0.7210767521376094,0.6436851569898984,0.6416131475791594,0.8699832023660885,0.5348616280699569,0.46513837193004315,0.2992406198335528,0.7566782399206405,0.42887550200803215,0.7741318020235165,0,2
