model,training_time_seconds,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_macro,phishing_precision,phishing_recall,phishing_f1,malware_f1,defacement_f1
Hist Gradient Boosting Standard,13.049728870391846,0.9493365878082364,0.9586607563089684,0.9407579438685619,0.9492582568934246,0.9493290582319085,0.9915333934695201,0.9422209695603156,0.9474952171756537,0.9448507330860272,0.9491228070175438,0.9538012305767025
Random Forest Balanced,14.248362302780151,0.94733383402178,0.9554413600735515,0.9413223714222778,0.9480943895338682,0.9473574715345446,0.9912285234228445,0.936198462613557,0.9492666336002268,0.9426872603173486,0.9503772489843296,0.9512186592999265
Random Forest Standard,14.039154052734375,0.948241331831268,0.9597015550856313,0.9374926641953453,0.947898214448133,0.9482503584218372,0.99101623722204,0.9350062560823023,0.9530928930773046,0.9439629460682831,0.9469183131819522,0.9528133840941637
Hist Gradient Boosting Balanced,17.98366117477417,0.9474590061334335,0.9519648560697972,0.9417438412872235,0.9467019851481394,0.9474420869359513,0.991407683368218,0.9426508071367884,0.943385531070644,0.9430180259942629,0.9445644348452124,0.9525234946049426
Decision Tree Balanced,2.061638593673706,0.9228626861935161,0.907017511670352,0.9232906583661441,0.914719643326127,0.9230212874409935,0.9709522063645498,0.9233853644565373,0.913767448451782,0.9185512304569251,0.8899742233075566,0.9356334762138993
Logistic Regression Balanced,3.646426200866699,0.8790837401426962,0.8811834976425991,0.8685594130821194,0.874301890933029,0.879184878615246,0.960134567934614,0.8507683016842247,0.8983915538864876,0.8739316239316239,0.8597914252607184,0.8891826236067448
