,precision,recall,f1-score,support
defacement,0.9427802319160685,0.9554420817011752,0.9490689271817676,14296.0
malware,0.986404833836858,0.9204961939667324,0.9523115064897185,3547.0
phishing,0.9390450628619862,0.9420392545879686,0.9405397757419264,14113.0
accuracy,0.9456440105144573,0.9456440105144573,0.9456440105144573,0.9456440105144573
macro avg,0.9560767095383044,0.9393258434186255,0.9473067364711375,31956.0
weighted avg,0.9459728099030749,0.9456440105144573,0.9456620400411625,31956.0
